id,quality
3,5.544159778654025
12,5.019705790630033
32,5.490497962337622
42,6.366842703311895
43,5.543712901457965
56,5.183304156738173
63,5.362674582052662
72,4.988434435058632
76,5.886818514384598
79,5.053462790712231
82,5.075763775478257
85,5.6493135906811425
86,5.340134301884168
90,5.175231852747735
94,4.837922770671842
96,5.58838853656128
100,5.461502602520912
107,5.286506819035543
111,5.439075220661907
120,5.25936214935594
124,5.166986966449475
127,4.842391236105932
142,6.531148398852341
146,5.0886279576954525
148,5.554231335587275
156,5.476926985836641
158,5.185821337085707
162,5.619071817777215
180,5.537960154792757
190,5.116433912233191
193,5.337815760375176
194,5.337815760375176
196,5.396828263379341
197,6.445377150573643
220,5.2970974904928445
222,5.293192506773622
241,6.203715463088701
249,5.554192060243878
253,5.221807422736401
269,6.113647940059187
279,6.012290345276935
280,6.196681687946796
290,6.234170975801706
292,5.774208907214799
293,5.58806491806612
302,5.764104313258932
306,5.082593525504522
325,5.6847037330776224
339,6.378168158466122
344,6.050298945314073
347,6.5639433583827715
352,5.604646761406435
366,5.12723972692085
388,5.38477294966179
392,5.024307082245826
395,5.999811503278212
396,5.155178234803006
399,5.1759544496574685
416,6.695647114332263
417,5.594929870169172
418,5.9628399080558845
421,6.283278876786434
423,6.433390457825119
426,5.486354406348238
427,5.461123036803944
435,5.030218692802956
452,5.670840650542778
453,6.116707474400752
455,6.102128344124738
457,5.182054935898671
466,6.153940297571408
469,5.292500836375382
471,6.138819940737417
476,6.21543830378847
485,5.247779573115373
489,5.955191876860016
492,6.878235531064542
497,5.965180616377786
501,6.362899607455998
506,6.396175384008567
509,6.402707076152404
511,5.433314105168435
512,5.550696816219493
516,5.982934137061692
524,5.099640840944871
533,6.896226571419039
538,6.254828952458869
544,5.282461791170584
546,5.575000540456989
551,5.767036905335395
556,5.749004901510211
564,6.309377105149577
565,5.329573526092466
578,5.25443318758926
592,5.017607835348849
596,5.041022304535829
607,5.564526780989488
617,6.384937163329012
621,5.195006229515613
626,4.9072454596269415
631,5.456044564921894
632,5.698611393259143
635,5.501773153547801
637,4.8267841567493885
650,5.182921244604897
652,6.82065108114675
655,5.463682631725686
677,5.185494650105011
681,5.392699706243183
695,6.840067059094706
697,5.528710794138091
700,4.915050962115747
710,4.829581729256629
721,5.0370864471032695
723,6.115650377986054
729,5.3562964680906555
740,6.130410078774443
741,5.0488589256677106
744,4.9389805665702395
749,5.682493486114543
750,5.330180188585686
752,5.379656925673955
754,5.523074569786074
766,5.279002824201286
770,5.204251364324991
771,5.079325180432685
778,5.842216242697276
781,5.63089708039276
790,5.337757197947578
793,5.774308908803858
799,5.458711351529749
808,5.484713198030039
809,5.363095436522279
813,5.932135817743283
819,5.222730414167736
833,5.60906908963101
838,6.405286544891481
843,5.15375143174591
848,5.499477055997177
871,5.6783402224771375
882,6.893790102350921
911,5.77065545636318
934,6.246352094361353
944,6.635119722081736
947,6.65723049689826
955,6.317549368990285
999,5.625108614157159
1004,5.354344989229477
1010,6.514981636412576
1013,5.311193584993192
1022,5.5854954065775395
1026,6.428739307141241
1035,6.170796139681495
1036,6.2779033437679495
1045,5.874299311263323
1055,5.050435853048455
1059,6.2909098496436755
1060,6.221642822887856
1069,5.895261122424821
1070,6.160836806586417
1073,5.707322846834414
1081,6.70568887642379
1089,5.70737511881843
1092,6.262270777956406
1096,5.576876991827863
1101,6.323231160427759
1107,6.86526358070716
1116,5.821268344626355
1120,6.418607275533262
1130,5.563881584222796
1144,5.583337803068035
1148,6.651330277074917
1168,6.145071119936909
1170,6.200099323895605
1195,5.42709207994277
1210,5.717662880097338
1219,6.181488414066093
1224,5.7333521358788015
1238,5.236347920758779
1250,5.759805417015792
1252,5.153266629457818
1265,5.666634568055595
1270,6.7340584260695895
1274,5.731172253715875
1280,5.710991096465909
1282,5.852048712816342
1291,5.886578145678517
1300,5.9937568256871945
1302,6.2452063321535345
1312,4.453661407828918
1319,4.970009116362175
1324,5.822810263243307
1328,5.1102003139055805
1333,5.069416532267592
1336,5.215538762490227
1344,5.45289403029948
1355,5.423489724222821
1359,5.778978703226992
1367,5.830933719941302
1370,5.070624116115307
1378,5.302310623123128
1379,5.912280379696145
1384,5.015449410943727
1391,5.448865043882879
1410,4.943118683099873
1414,5.614863071737286
1415,5.542646731324205
1417,6.397512315261236
1420,5.251015645278976
1423,6.141199428795795
1434,5.946443696412589
1436,4.339959659352404
1470,5.3974258030143085
1479,5.730883698675903
1487,5.780694551194887
1488,5.077848035332804
1499,5.674073767297511
1508,5.895230168377524
1514,5.4890654720032845
1529,5.150707200054258
1535,5.340158927586072
1553,5.20750097315064
1555,6.010892021384313
1559,5.017175092307963
1568,5.151617187256927
1577,5.503315144237606
1578,5.664555481042046
1586,6.160161746964061
1590,6.3036458489417555
